Día,Fecha,Tipo,Producto,Hora,Caption,Prompt
"1","2026-02-28","Tip Educativo","Terrario de Cristal 60x40x40cm","1:00 PM","💡 SABÍAS QUE...

Tu reptil necesita estimulación mental para ser feliz 🧠🦎

Un reptil aburrido puede desarrollar comportamientos destructivos. Los juguetes interactivos como nuestro Terrario de Cristal 60x40x40cm son la solución perfecta.

✅ Reduce ansiedad
✅ Ejercita la mente
✅ Diversión garantizada

💬 ¿Tu reptil muestra signos de aburrimiento? Cuéntanos 👇

Guarda este post para recordarlo 📌

#BuenAmigo #TipsMascotas #CuidadoReptil #EducaciónPet #MascotasMexico","Instagram infographic about pet care tips for reptil, modern flat design, icons, orange and teal colors, easy to read typography, engaging layout"
"2","2026-03-01","Estilo de Vida","Acuario Completo 20 Litros","1:00 PM","Así de feliz está tu pez con Acuario Completo 20 Litros 💙🐠

Kit todo incluido con filtro

📦 Envío a todo México
✨ Garantía de satisfacción

💬 ¿A tu mascota le gustaría? Cuéntanos en los comentarios 👇

#BuenAmigo #MascotasFelices #pez #PetLoversMexico","Lifestyle photo of happy pez using ""Acuario Completo 20 Litros"" in modern home setting, natural window light, cozy atmosphere, Instagram aesthetic, candid moment, warm tones"
"3","2026-03-02","Nuevo Producto","Juguete Interactivo Inteligente","1:00 PM","¿Tu perro necesita esto? 🐕✨

Juguete Interactivo Inteligente

✅ Bola automática con movimiento impredecible
✅ Calidad premium garantizada
✅ Envío gratis en compras +$499

💰 $24.99 MXN


🔗 Link en bio para comprar
👇 Comenta ""INFO"" para más detalles

¿Qué le comprarías a tu peludo amigo? 🐾
.
.
.
#BuenAmigo #PerroMexico #PetLovers #ProductosParaMascotas #Mexico #TiendaDeMascotas #MascotasFelices #CuidadoAnimal","Professional product photography of ""Juguete Interactivo Inteligente"" for perro, clean white background, soft studio lighting, 4K quality, e-commerce catalog style, high-end pet product aesthetic"
"4","2026-03-03","Pack Especial","Fuente de Agua Automática","1:00 PM","🎁 PACK ESPECIAL DE FIN DE SEMANA 🎁

Lleva TODO lo que tu perro necesita:

✅ Fuente de Agua Automática
✅ Accesorios premium
✅ Envío gratis

💰 Solo $32.00 MXN
❌ Valor normal: $52.00 MXN
💸 Ahorras: $20.00 MXN

⚠️ Solo 10 unidades disponibles

🔗 Link en bio para aprovechar

¿Para qué mascota es este pack? 🐕 Comenta 👇

#BuenAmigo #Promo #Oferta #Bundle #perroMexico","Professional product photography of ""Fuente de Agua Automática"" for perro, clean white background, soft studio lighting, 4K quality, e-commerce catalog style, high-end pet product aesthetic"
"5","2026-03-04","Testimonio Cliente","Guante Quitapelos Mágico","1:00 PM","⭐ CLIENTE FELIZ ⭐

""A mi perro le encantó su Guante Quitapelos Mágico. ¡No lo suelta desde que llegó! La mejor compra que he hecho."" 💙

— María G. y su perro Luna 🐕

Nos encanta ver a nuestras mascotas clientes disfrutando sus productos 🥰

¿Quieres que tu mascota aparezca aquí?
📸 Súbete foto usando nuestros productos con #BuenAmigo y etiquétanos

🛒 Link en bio para unirte a la familia

#BuenAmigo #Testimonio #ClientesFelices #perroMexico","Happy perro with satisfied expression, natural lighting, cozy home background, bokeh effect, Instagram portrait style, warm and inviting"
"6","2026-03-05","Detrás de Cámaras","Cama Ortopédica Memory Foam","11:00 AM","📦 DETRÁS DE CÁMARAS 📦

Así empacamos cada pedido con amor 💙

En BuenAmigo cada caja incluye:
✨ Producto verificado y probado
✨ Stickers exclusivos de mascotas
✨ Guía de cuidado personalizada
✨ Sorpresita para tu peludo amigo

¿Ya recibiste tu pedido? Cuéntanos qué te pareció en los comentarios 👇

— El equipo BuenAmigo 🐕

#BuenAmigo #BehindTheScenes #Equipo #EmprendedorMexico #HechoConAmor","Professional product photography of ""Cama Ortopédica Memory Foam"" for perro, clean white background, soft studio lighting, 4K quality, e-commerce catalog style, high-end pet product aesthetic"
"7","2026-03-06","Producto Destacado","Jaula Deluxe para Loros","11:00 AM","¿Tu ave necesita esto? 🦜✨

Jaula Deluxe para Loros

✅ Jaula espaciosa de 120cm
✅ Calidad premium garantizada
✅ Envío gratis en compras +$499

💰 $149.99 MXN
🔥 Oferta especial (Antes $189.99)

🔗 Link en bio para comprar
👇 Comenta ""INFO"" para más detalles

¿Qué le comprarías a tu peludo amigo? 🐾
.
.
.
#BuenAmigo #AveMexico #PetLovers #ProductosParaMascotas #Mexico #TiendaDeMascotas #MascotasFelices #CuidadoAnimal","Professional product photography of ""Jaula Deluxe para Loros"" for ave, clean white background, soft studio lighting, 4K quality, e-commerce catalog style, high-end pet product aesthetic"
"8","2026-03-07","Tip Educativo","Fuente Flor de Agua para Gatos","1:00 PM","💡 SABÍAS QUE...

Tu gato necesita estimulación mental para ser feliz 🧠🐈

Un gato aburrido puede desarrollar comportamientos destructivos. Los juguetes interactivos como nuestro Fuente Flor de Agua para Gatos son la solución perfecta.

✅ Reduce ansiedad
✅ Ejercita la mente
✅ Diversión garantizada

💬 ¿Tu gato muestra signos de aburrimiento? Cuéntanos 👇

Guarda este post para recordarlo 📌

#BuenAmigo #TipsMascotas #CuidadoGato #EducaciónPet #MascotasMexico","Instagram infographic about pet care tips for gato, modern flat design, icons, orange and teal colors, easy to read typography, engaging layout"
"9","2026-03-08","Estilo de Vida","Varita con Plumas Interactiva","1:00 PM","Así de feliz está tu gato con Varita con Plumas Interactiva 💙🐈

Varita extensible con plumas naturales

📦 Envío a todo México
✨ Garantía de satisfacción

💬 ¿A tu mascota le gustaría? Cuéntanos en los comentarios 👇

#BuenAmigo #MascotasFelices #gato #PetLoversMexico","Lifestyle photo of happy gato using ""Varita con Plumas Interactiva"" in modern home setting, natural window light, cozy atmosphere, Instagram aesthetic, candid moment, warm tones"
"10","2026-03-09","Nuevo Producto","Rascador Circular de Cartón","1:00 PM","¿Tu gato necesita esto? 🐈✨

Rascador Circular de Cartón

✅ Rascador duradero con diseño circular
✅ Calidad premium garantizada
✅ Envío gratis en compras +$499

💰 $19.99 MXN


🔗 Link en bio para comprar
👇 Comenta ""INFO"" para más detalles

¿Qué le comprarías a tu peludo amigo? 🐾
.
.
.
#BuenAmigo #GatoMexico #PetLovers #ProductosParaMascotas #Mexico #TiendaDeMascotas #MascotasFelices #CuidadoAnimal","Professional product photography of ""Rascador Circular de Cartón"" for gato, clean white background, soft studio lighting, 4K quality, e-commerce catalog style, high-end pet product aesthetic"
